"BehaviorSpace results (NetLogo 6.0.4)"
"MAGENTA_ABM_combined.nlogo"
"MAGENTA_experiment_onefarmer"
"07/12/2019 16:20:55:285 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-7","7","-7","7"
"[run number]","bounded-rationality?","bonus-agg","bounded-threshold","base-p","persistence","bonus-wat","water-bonus","dist","change-lim","no-agents","[step]","budget","r:get ""ay.sum""","r:get ""hi""","r:get ""wq"""
"171","false","0","uniform","0","profit","0.15","as ES model","1","5","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"172","false","0","uniform","0","profit","0.15","as ES model","1","5","1","100","0","100.00522532015965","0","0"
"173","false","0","uniform","0","profit","0.15","as ES model","1","5","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"174","false","0","uniform","0","profit","0.15","as ES model","1","5","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"175","false","0","uniform","0","profit","0.15","as ES model","1","5","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"176","false","0","uniform","0","profit","0.15","as ES model","1","6","1","100","-2.8421709430404007E-13","100.00522532015965","0","0"
"177","false","0","uniform","0","profit","0.15","as ES model","1","6","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"178","false","0","uniform","0","profit","0.15","as ES model","1","6","1","100","2.8421709430404007E-13","100.00522532015965","0","0"
"179","false","0","uniform","0","profit","0.15","as ES model","1","6","1","100","0","100.00522532015965","0","0"
"180","false","0","uniform","0","profit","0.15","as ES model","1","6","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"181","false","0","uniform","0","profit","0.15","as ES model","1","7","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"182","false","0","uniform","0","profit","0.15","as ES model","1","7","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"183","false","0","uniform","0","profit","0.15","as ES model","1","7","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"184","false","0","uniform","0","profit","0.15","as ES model","1","7","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"185","false","0","uniform","0","profit","0.15","as ES model","1","7","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"186","false","0","uniform","0","profit","0.15","as ES model","1","8","1","100","0","100.00522532015965","0","0"
"187","false","0","uniform","0","profit","0.15","as ES model","1","8","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"188","false","0","uniform","0","profit","0.15","as ES model","1","8","1","100","-3.410605131648481E-13","100.00522532015965","0","0"
"189","false","0","uniform","0","profit","0.15","as ES model","1","8","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"190","false","0","uniform","0","profit","0.15","as ES model","1","8","1","100","0","100.00522532015965","0","0"
"191","false","0","uniform","0","profit","0.15","as ES model","1","9","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"192","false","0","uniform","0","profit","0.15","as ES model","1","9","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"193","false","0","uniform","0","profit","0.15","as ES model","1","9","1","100","0","100.00522532015965","0","0"
"194","false","0","uniform","0","profit","0.15","as ES model","1","9","1","100","-3.979039320256561E-13","100.00522532015965","0","0"
"195","false","0","uniform","0","profit","0.15","as ES model","1","9","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"196","false","0","uniform","0","profit","0.15","as ES model","1","10","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"197","false","0","uniform","0","profit","0.15","as ES model","1","10","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"198","false","0","uniform","0","profit","0.15","as ES model","1","10","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"199","false","0","uniform","0","profit","0.15","as ES model","1","10","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"200","false","0","uniform","0","profit","0.15","as ES model","1","10","1","100","2.2737367544323206E-13","100.00522532015965","0","0"
"201","false","0","uniform","0","profit","0.2","as ES model","1","1","1","100","1.3999999999999204","96.67408371833781","1.4","8.11"
"202","false","0","uniform","0","profit","0.2","as ES model","1","1","1","100","1.3999999999999773","96.67408371833781","1.4","8.11"
"203","false","0","uniform","0","profit","0.2","as ES model","1","1","1","100","1.400000000000091","96.67408371833781","1.4","8.11"
"204","false","0","uniform","0","profit","0.2","as ES model","1","1","1","100","1.3999999999998636","96.67408371833781","1.4","8.11"
"205","false","0","uniform","0","profit","0.2","as ES model","1","1","1","100","1.3999999999996362","96.67408371833781","1.4","8.11"
"206","false","0","uniform","0","profit","0.2","as ES model","1","2","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"207","false","0","uniform","0","profit","0.2","as ES model","1","2","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"208","false","0","uniform","0","profit","0.2","as ES model","1","2","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
